Category - this is a dummy column;Filename;calibration;Charge;Live time (%);current (nA);CaK;TiK;MnK;FeK;NiK;CuK;BrK;AgK;AuL;HgL;PbL;BiL
This is a dummy line;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2;16out086.spe;cal1.txt;20;0.683;15;0;0;0;0;0;0.03398;0;131.9639;0.00947;0;0.03954;0.004677
2;16out087.spe;cal1.txt;20;0.683;15;0;0;0;0;0;0.05516;0;127.5745;0.007892;0;0.03682;0
2;16out088.spe;cal1.txt;20;0.683;15;0;0;0;0;0;3.0145;0;101.5577;0.4753;0.03336;0.2229;0.02436
2;16out089.spe;cal1.txt;20;0.683;15;0;0;0;0;0;3.5256;0;103.5898;0.4863;0.04585;0.3516;0.04448
2;16out092.spe;cal1.txt;20;0.683;15;0;0;0;0;0;4.5033;0;107.1442;0.03217;0.1171;0.2349;0.01053
2;16out093.spe;cal1.txt;20;0.683;15;0;0;0;0;0;3.4368;0;106.5379;0.02598;0.1074;0.235;0.01034
2;16out094.spe;cal1.txt;20;0.683;15;0;0;0;0;0;3.2935;0;101.556;0.2566;0.03057;0.4986;0.08329
2;16out095.spe;cal1.txt;20;0.683;15;0;0;0;0;0;4.4229;0;102.3687;0.2281;0.05736;0.6179;0.08867
2;16out096.spe;cal1.txt;20;0.683;15;0;0;0;0;0;3.4244;0;100.9943;0.01732;0.02856;0.2716;0.1135
2;16out097.spe;cal1.txt;20;0.683;15;0;0;0;0;0;3.957;0;106.2593;0.02206;0.04294;0.2787;0.121
2;16out098.spe;cal1.txt;20;0.683;15;0;0;0;0;0;2.124;0;107.7238;0.1585;0.04049;0.277;0.02441
2;16out099.spe;cal1.txt;20;0.683;15;0;0;0;0;0;2.9589;0;102.811;0.1532;0.05404;0.3486;0.0196
2;16out100.spe;cal1.txt;20;0.683;15;0;0;0;0;0;1.8999;0;110.9444;0.02915;0.02125;0.4415;0.06315
2;16out101.spe;cal1.txt;20;0.683;15;0;0;0;0;0;2.6435;0;101.6489;0.01762;0.005712;0.3488;0.05963
0;16out102.spe;cal1.txt;20;0.683;15;0;0;0;0;0;5.1052;0;95.3133;0.955;0;0.4304;0
0;16out103.spe;cal1.txt;20;0.683;15;0;0;0;0;0;4.9405;0;92.5044;0.9247;0;0.4204;0
2;16out105.spe;cal1.txt;20;0.683;15;0;0;0;0;0;5.6846;0;106.0285;0.04044;0;0.04794;0.004145
2;16out106.spe;cal1.txt;20;0.683;15;0;0;0;0;0;3.4399;0;112.2581;0.009519;0;0.04654;0
2;16out107.spe;cal1.txt;20;0.683;15;0;0;0;0;0;3.5685;0;104.7627;0.004112;0.01113;0.08871;0.01901
2;16out108.spe;cal1.txt;20;0.683;15;0;0;0;0;0;1.7693;0;88.8024;0.006415;0.01682;0.09746;0.02085
2;16out109.spe;cal1.txt;20;0.683;15;0;0;0;0;0;2.4537;0;99.0361;0.3183;0;0.1977;0.05021
2;16out110.spe;cal1.txt;20;0.683;15;0;0;0;0;0;2.2561;0;110.066;0.3025;0;0.276;0.08534
0;16out111.spe;cal1.txt;20;0.683;15;0;0;0;0;0;0.4813;0;7.1374;0.01232;0.01111;0.0302;0.01171
2;16out112.spe;cal1.txt;20;0.683;15;0;0;0;0;0;4.7404;0;80.0566;0.1162;0.05741;0.2822;0.1161
2;16out113.spe;cal1.txt;20;0.683;15;0;0;0;0;0;2.9663;0;96.6591;0.1327;0.04465;0.2732;0.1028
2;16out114.spe;cal1.txt;20;0.683;15;0;0;0;0;0;2.4102;0;94.2067;0.1428;0.04842;0.227;0.08692
2;16out115.spe;cal1.txt;20;0.683;15;0;0;0;0;0;0.5687;0;31.3872;0.2787;0;0.08456;0.01363
2;16out116.spe;cal1.txt;20;0.683;15;0;0;0;0;0;1.9995;0;90.8007;0.4746;0.01747;0.4067;0.06983
0;16out117.spe;cal1.txt;20;0.683;15;0;0;0;0;0;4.8579;0;85.6548;0.9041;0;0.4053;0
2;16out118.spe;cal1.txt;20;0.683;15;0;0;0;0;0;4.864;0;85.2941;0.8934;0;0.4049;0
2;16out119.spe;cal1.txt;20;0.683;15;0;0;0;0;0;2.9587;0;93.861;0.04982;0.02411;0.2496;0.02695
2;16out120.spe;cal1.txt;20;0.683;15;0;0;0;0;0;2.478;0;97.103;0.0539;0.03925;0.1947;0.02689
2;16out121.spe;cal1.txt;20;0.683;15;0;0;0;0;0;2.1799;0;102.5292;0.004719;0.04141;0.06632;0
2;16out122.spe;cal1.txt;20;0.683;15;0;0;0;0;0;2.9915;0;106.9785;0;0.03044;0.05362;0
2;16out123.spe;cal1.txt;20;0.683;15;0;0;0;0;0;3.6351;0;101.0623;0.0106;0.02657;0.1751;0.0311
2;16out124.spe;cal1.txt;20;0.683;15;0;0;0;0;0;3.2842;0;87.1758;0.005705;0.01799;0.1767;0.03247
2;16out125.spe;cal1.txt;20;0.683;15;0;0;0;0;0;4.4145;0;81.4863;0;0.01796;0.04212;0
2;16out126.spe;cal1.txt;20;0.683;15;0;0;0;0;0;3.6209;0;85.3907;0;0.01363;0.03485;0
2;16out127.spe;cal1.txt;20;0.683;15;0;0;0;0;0;2.879;0;97.4773;0.004226;0.02066;0.08039;0
2;16out128.spe;cal1.txt;20;0.683;15;0;0;0;0;0;3.3728;0;95.2512;0;0.01926;0.05786;0
2;16out129.spe;cal1.txt;20;0.683;15;0;0;0;0;0;2.5978;0;89.2546;0.1674;0.05845;1.4469;0.01874
2;16out130.spe;cal1.txt;20;0.683;15;0;0;0;0;0;2.0866;0;75.4065;0.1629;0.04986;1.2598;0.015
2;16out131.spe;cal1.txt;20;0.683;15;0;0;0;0;0;4.6049;0;87.2317;0.8507;0;0.396;0
2;16out132.spe;cal1.txt;20;0.683;15;0;0;0;0;0;4.1341;0;80.5479;0.7784;0;0.3506;0
2;16out133.spe;cal1.txt;20;0.683;15;0;0;0;0;0;2.4086;0;92.2396;0.007403;0.05755;0.06665;0
2;16out134.spe;cal1.txt;20;0.683;15;0;0;0;0;0;2.4255;0;76.7384;0.007738;0.05325;0.07392;0
2;16out135.spe;cal1.txt;20;0.683;15;0;0;0;0;0;2.4024;0;105.5089;0.01147;0.02743;0.2687;0.007651
2;16out136.spe;cal1.txt;20;0.683;15;0;0;0;0;0;2.0485;0;108.0365;0.01231;0.03907;0.2822;0.006371
2;16out137.spe;cal1.txt;20;0.683;15;0;0;0;0;0;5.6961;0;100.8788;0.04043;0;0.2328;0.04862
2;16out138.spe;cal1.txt;20;0.683;15;0;0;0;0;0;3.1865;0;110.0484;0.06311;0;0.2615;0.07052
2;16out139.spe;cal1.txt;20;0.683;15;0;0;0;0;0;3.2382;0;123.6412;0.01464;0.01923;0.06816;0.003661
2;16out140.spe;cal1.txt;20;0.683;15;0;0;0;0;0;3.2758;0;118.0954;0.01586;0.04074;0.07303;0.004124
2;16out141.spe;cal1.txt;20;0.683;15;0;0;0;0;0;3.3237;0;118.3485;0.01723;0.0307;0.05575;0
2;16out142.spe;cal1.txt;20;0.683;15;0;0;0;0;0;3.5991;0;110.0568;0.01084;0.03836;0.06987;0
2;16out143.spe;cal1.txt;20;0.683;15;0;0;0;0;0;2.1134;0;98.0584;0.223;0.01257;3.0745;0.01688
2;16out144.spe;cal1.txt;20;0.683;15;0;0;0;0;0;3.5569;0;117.6562;0.2066;0.02583;2.8434;0.0128
2;16out145.spe;cal1.txt;20;0.683;15;0;0;0;0;0;0.9096;0;124.9001;0.3019;0.01128;0.3957;0.01829
2;16out146.spe;cal1.txt;20;0.683;15;0;0;0;0;0;1.337;0;123.42;0.3505;0.01666;0.4139;0.02106
2;16out147.spe;cal1.txt;20;0.683;15;0;0;0;0;0;2.2962;0;129.9951;0.1236;0.05086;0.1732;0.02123
2;16out148.spe;cal1.txt;20;0.683;15;0;0;0;0;0;1.437;0;129.6013;0.1128;0.0566;0.1196;0.0188
2;16out150.spe;cal1.txt;20;0.683;15;0;0;0;0;0;2.2752;0;91.2014;0.01908;0.02754;0.07446;0.03276
2;16out151.spe;cal1.txt;20;0.683;15;0;0;0;0;0;1.7606;0;100.9365;0.03064;0.04198;0.07079;0.03099
2;16out152.spe;cal1.txt;20;0.683;15;0;0;0;0;0;7.8533;0;110.0961;0.05374;0.1599;0.1339;0.06556
2;16out153.spe;cal1.txt;20;0.683;15;0;0;0;0;0;7.2216;0;96.7561;0.04133;0.1106;0.1424;0.05889
2;16out154.spe;cal1.txt;20;0.683;15;0;0;0;0;0;2.4853;0;93.53;0.1636;0.08479;0.1363;0.1334
2;16out155.spe;cal1.txt;20;0.683;15;0;0;0;0;0;3.0683;0;104.2144;0.1926;0.04966;0.1493;0.1388
2;16out156.spe;cal1.txt;20;0.683;15;0;0;0;0;0;4.3945;0;102.0704;0.1816;0.0254;0.2998;0.03775
2;16out157.spe;cal1.txt;20;0.683;15;0;0;0;0;0;3.2918;0;107.6097;0.2194;0.02082;0.2382;0.03524
2;16out158.spe;cal1.txt;20;0.683;15;0;0;0;0;0;1.7369;0;114.394;0.1554;0.007431;0.064;0.1025
2;16out159.spe;cal1.txt;20;0.683;15;0;0;0;0;0;2.7751;0;110.5024;0.1284;0.009289;0.07015;0.1078
2;16out160.spe;cal1.txt;20;0.683;15;0;0;0;0;0;2.1134;0;97.6809;0.02796;0.02856;0.1278;0.1309
